iter	Passed	Remaining
0	185	111373
1	220	65873
2	255	50816
3	288	42917
4	306	36527
5	343	33994
6	379	32128
7	413	30577
8	446	29325
9	498	29435
10	532	28504
11	562	27561
12	595	26888
13	618	25899
14	650	25366
15	685	25013
16	718	24633
17	751	24292
18	782	23937
19	815	23663
20	848	23396
21	878	23087
22	909	22827
23	939	22541
24	966	22226
25	1000	22088
26	1029	21846
27	1045	21357
28	1078	21236
29	1118	21247
30	1160	21293
31	1202	21335
32	1236	21247
33	1269	21125
34	1300	20989
35	1333	20883
36	1364	20755
37	1399	20693
38	1434	20632
39	1469	20572
40	1502	20485
41	1536	20408
42	1567	20298
43	1599	20209
44	1631	20116
45	1661	20012
46	1694	19939
47	1728	19872
48	1765	19851
49	1796	19766
50	1828	19685
51	1867	19675
52	1904	19651
53	1936	19576
54	1966	19488
55	1997	19403
56	2031	19349
57	2066	19312
58	2100	19264
59	2134	19207
60	2168	19161
61	2200	19092
62	2234	19043
63	2267	18988
64	2297	18911
65	2328	18837
66	2360	18779
67	2394	18732
68	2427	18682
69	2460	18633
70	2492	18569
71	2524	18512
72	2554	18438
73	2585	18378
74	2617	18324
75	2649	18269
76	2679	18199
77	2710	18142
78	2744	18098
79	2772	18019
80	2806	17982
81	2837	17922
82	2867	17862
83	2897	17796
84	2928	17745
85	2959	17689
86	2991	17639
87	3023	17592
88	3057	17552
89	3089	17508
90	3122	17464
91	3152	17409
92	3184	17359
93	3215	17308
94	3246	17257
95	3277	17207
96	3307	17148
97	3337	17094
98	3370	17056
99	3402	17011
100	3429	16943
101	3460	16895
102	3493	16855
103	3525	16814
104	3556	16764
105	3587	16716
106	3614	16653
107	3643	16598
108	3675	16554
109	3705	16505
110	3739	16474
111	3771	16434
112	3803	16393
113	3836	16355
114	3867	16310
115	3897	16262
116	3929	16223
117	3961	16179
118	3991	16133
119	4022	16088
120	4057	16062
121	4090	16026
122	4124	15994
123	4185	16065
124	4219	16034
125	4250	15990
126	4282	15949
127	4311	15897
128	4343	15859
129	4376	15822
130	4404	15767
131	4435	15727
132	4468	15690
133	4501	15653
134	4534	15617
135	4566	15578
136	4597	15536
137	4632	15510
138	4674	15502
139	4712	15484
140	4744	15445
141	4775	15404
142	4806	15362
143	4839	15323
144	4871	15284
145	4901	15241
146	4931	15198
147	4961	15153
148	4991	15108
149	5022	15068
150	5052	15024
151	5083	14981
152	5113	14938
153	5141	14890
154	5173	14852
155	5205	14814
156	5232	14764
157	5264	14727
158	5295	14687
159	5329	14655
160	5353	14597
161	5384	14558
162	5414	14515
163	5444	14473
164	5469	14419
